,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:04:23.703+03:00,GET,https://www.whatshouldireadnext.com/,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,417,10330,,,99,2,656,2693,2728,4,0,217.160.0.94,,3492,
1,,2019-10-08T18:04:24.396+03:00,GET,https://www.whatshouldireadnext.com/wsirn.css,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,text/css,,,265,10315,,,-1,1,132,-1,-1,7,-1,217.160.0.94,,140,
2,,2019-10-08T18:04:24.549+03:00,GET,https://www.whatshouldireadnext.com/mobile.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,264,6539,,,-1,1,122,-1,-1,0,-1,217.160.0.94,,123,
3,,2019-10-08T18:04:24.676+03:00,GET,https://www.whatshouldireadnext.com/ads/css/uss.css,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,text/css,,,264,7256,,,-1,0,133,-1,-1,0,-1,217.160.0.94,,135,
4,,2019-10-08T18:04:24.754+03:00,GET,https://www.whatshouldireadnext.com/javascript/fixioslabels.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,427,,,0,1,115,313,342,0,0,217.160.0.94,,460,
5,,2019-10-08T18:04:24.758+03:00,GET,https://www.whatshouldireadnext.com/javascript/checky.js,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,525,,,0,1,208,319,348,34,0,217.160.0.94,,593,
6,,2019-10-08T18:04:24.758+03:00,GET,https://www.whatshouldireadnext.com/ads/js/uss-jsonp.js,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/javascript,,,278,4294,,,0,1,112,328,354,0,0,217.160.0.94,,468,
7,,2019-10-08T18:04:24.760+03:00,GET,https://www.whatshouldireadnext.com/images/logo.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,264,2993,,,0,1,110,320,349,0,0,217.160.0.94,,461,
8,,2019-10-08T18:04:25.863+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,32954,,,26,0,125,1394,1433,69,0,172.217.21.234,,1654,
9,,2019-10-08T18:04:28.548+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,29,1,83,2300,2338,38,0,172.217.22.72,,2490,
10,,2019-10-08T18:04:28.701+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=401971293&utmhn=www.whatshouldireadnext.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=What%20Should%20I%20Read%20Next%3F%20Book%20recommendations%20from%20readers%20like%20you&utmhid=111396622&utmr=-&utmp=%2F&utmht=1570547068696&utmac=UA-1909811-1&utmcc=__utma%3D146589170.495637477.1570547069.1570547069.1570547069.1%3B%2B__utmz%3D146589170.1570547069.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1057828950&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,953,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,97,-1,-1,0,-1,172.217.22.72,,98,value
11,,2019-10-08T18:04:28.713+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery11020046137140370845486_1570547066083&uss_type=1&uss_session=15705470660890.3237161917771132&uss_anticache=0.24538391042735141&action=uss_getstring&_=1570547066084,HTTP/1.1,942,0,,200,OK,HTTP/1.1,0,application/json,,,208,465,,,-1,0,151,-1,-1,0,-1,217.160.0.94,,153,value
12,,2019-10-08T18:04:28.875+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery11020046137140370845486_1570547066083&uss_type=2&uss_session=15705470660890.3237161917771132&uss_anticache=0.6928437503019587&action=uss_getstring&_=1570547066085,HTTP/1.1,941,0,,200,OK,HTTP/1.1,0,application/json,,,208,524,,,-1,1,242,-1,-1,0,-1,217.160.0.94,,244,value
13,,2019-10-08T18:04:28.945+03:00,GET,https://connect.facebook.net/en_US/all.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1779,,,35,0,101,2777,2813,0,0,31.13.92.14,,2952,
14,,2019-10-08T18:04:29.124+03:00,GET,https://www.whatshouldireadnext.com/ads/ajax.php?callback=jQuery11020046137140370845486_1570547066083&uss_type=3&uss_session=15705470660890.3237161917771132&uss_anticache=0.5501922384545312&action=uss_getstring&_=1570547066086,HTTP/1.1,941,0,,200,OK,HTTP/1.1,0,application/json,,,208,424,,,-1,0,165,-1,-1,0,-1,217.160.0.94,,166,value
15,,2019-10-08T18:04:29.255+03:00,GET,https://connect.facebook.net/en_US/all.js?hash=57fc55ea9fd831bf595e8439b63d6b57&ua=modern_es6,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,56393,,,0,0,100,169,199,85,0,31.13.92.14,,386,value
16,,2019-10-08T18:04:29.438+03:00,GET,https://rcm-na.amazon-adsystem.com/e/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,612,0,,302,Found,HTTP/1.1,0,text/html; charset=iso-8859-1,,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,440,277,,,111,0,160,3190,3228,0,0,52.46.132.238,,3502,value
17,,2019-10-08T18:04:31.356+03:00,GET,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=13&l=ez&f=ifr&linkID=43952556ed8e6886aba1176dc73ba61f&t=wsirn-20&tracking_id=wsirn-20,HTTP/1.1,614,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,474,45299,,,132,0,180,1588,1616,174,0,54.239.26.81,,2104,value
18,,2019-10-08T18:04:32.275+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,544,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1122,11785,,,25,0,102,2745,2773,5,0,31.13.92.14,,2908,value
19,,2019-10-08T18:04:34.194+03:00,GET,https://ir-na.amazon-adsystem.com/e/ir?l=ez&t=wsirn-20&o=1&cb=1570547071717,HTTP/1.1,536,0,,200,,HTTP/1.1,0,image/gif,,,126,42,,,64,0,176,2376,2405,4,0,52.94.229.212,,2651,value
20,,2019-10-08T18:04:34.797+03:00,GET,https://fls-na.amazon-adsystem.com/1/associates-ads/1/OP/r/json?cb=1570547071717&logType=banner_impressions&p=%7B%22mobile_supported%22%3A%22true%22%2C%22action%22%3A%22onload%22%2C%22adunit_type%22%3A%22banners%22%2C%22adunit_properties%22%3A%7B%22height%22%3A%22%24%7Bheight%7D%22%2C%22width%22%3A%22%24%7Bwidth%7D%22%2C%22category%22%3A%22%24%7Bcampaigns%7D%22%2C%22marketplace%22%3A%22amazon%22%2C%22link_id%22%3A%22%24%7Blinkid%7D%22%2C%22region%22%3A%22US%22%7D%2C%22logType%22%3A%22banner_impressions%22%7D,HTTP/1.1,974,0,,200,OK,HTTP/1.1,0,image/gif,,,159,43,,,65,0,170,2978,3006,0,0,52.94.225.95,,3243,value
21,,2019-10-08T18:04:34.803+03:00,GET,https://fls-na.amazon-adsystem.com/1/associates-ads/1/OP/?cb=1570547071717&p=%7B%22program%22%3A%221%22%2C%22tag%22%3A%22wsirn-20%22%2C%22linkCode%22%3A%22ez%22%2C%22refUrl%22%3A%22https%3A%2F%2Fwww.whatshouldireadnext.com%2F%22%2C%22panda%22%3Atrue%7D,HTTP/1.1,713,0,,200,OK,HTTP/1.1,0,image/gif,,,159,43,,,67,0,164,2984,3011,0,0,52.94.225.95,,3243,value
22,,2019-10-08T18:04:35.502+03:00,GET,https://images-na.ssl-images-amazon.com//images/G/01/rcm/468x60.gif,HTTP/1.1,528,0,,200,OK,HTTP/1.1,0,image/gif,,,604,7079,,,35,0,95,3714,3744,7,0,13.226.4.34,,3883,
